Trial_ID,Trial Number/Name,Paper Name,Journal,Paper Link,Publication Year,# of Arm,Control Group,Study Phase,Sample Size,Priamry Outcome,Primary Outcome Type,Trial Success(Primary Outcome Significant),Statistical Model,Randomization Scheme,Randomization Scheme(High Level),Research Area,Citation,Number of Rows,Is Longitudinal
109,NCT04477811,A comparative study between Vitamin K1 and K2 on vascular calcification in hemodialysis patients: a randomized controlled trial,European Journal of Clinical Nutrition,https://doi.org/10.1038/s41430-021-01050-w,2021,3,Vitamin K1,Not Applicable,120,mgp post,Continuous,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Between-arm comparison of randomized groups,simple randomization,Simple,Nephrology,11,156,
110,,Iron Deficiency Anaemia in Pregnancy and Postpartum: Pathophysiology and Effect of Oral versus Intravenous Iron Therapy,Journal of Pregnancy,https://doi.org/10.1155/2012/630519,2012,2,Oral iron,Not Applicable,80,hgb 4w,Continuous,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of randomized groups,simple randomization,Simple,"Women's, Maternal & Child Health",168,61,
111,,Effects of the abacus-based mental calculation training application “SoroTouch” on cognitive functions: A randomized controlled trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0299201,2024,2,Control,Not Applicable,20,moca total post,Continuous,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Between-arm comparison of randomized groups,simple randomization,Simple,Neurology & Neurorehabilitation,6,96,
112,NCT01158391,Patterned frequency-modulated oral stimulation in preterm infants: A multicenter randomized controlled trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0212675,2019,2,Non-pulsatile pacifier,Not Applicable,210,time to full oral feeds days,Time-to-event,Yes; publication reports statistically significant primary or main outcome effect,Survival/time-to-event analysis,simple randomization,Simple,"Women's, Maternal & Child Health",40,64,
113,,A randomised controlled pilot study of standardised counselling and cost-free pharmacotherapy for smoking cessation among stroke and TIA patients,BMJ Open,https://doi.org/10.1136/bmjopen-2011-000366,2011,2,Usual care,Not Applicable,28,smoking abstinence 26w,Binary,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of proportions/logistic regression,simple randomization,Simple,Neurology & Neurorehabilitation,15,200,
114,NCT01573299,Early Sitting in Ischemic Stroke Patients (SEVEL): A Randomized Controlled Trial,PLoS ONE,https://doi.org/10.1371/journal.pone.0149466,2016,2,Progressive sitting,Not Applicable,138,rankin 3m,Ordinal,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of proportions/logistic regression,simple randomization,Simple,Neurology & Neurorehabilitation,65,119,
115,,A Short Message Service (SMS) increases postpartum care-seeking behavior and uptake of family planning of mothers in peri-urban public facilities in Kenya,PLoS ONE,https://doi.org/10.1371/journal.pone.0239213,2020,4,PP Checklist Only,Not Applicable,511,family planning uptake,Binary,No statistically significant primary effect reported,Between-arm comparison of proportions/logistic regression,simple randomization,Simple,"Women's, Maternal & Child Health",40,577,
116,NCT05262621,"Effects of music intervention combined with progressive muscle relaxation on anxiety, depression, stress and quality of life among women with cancer receiving chemotherapy: A pilot randomized controlled trial",PLoS ONE,https://doi.org/10.1371/journal.pone.0293060,2023,2,Not identified from compact source,Not Applicable,24,DASS total and FACT-G total at T2/change from baseline,Continuous,Pilot/feasibility trial; efficacy success not primary,Between-arm comparison of randomized groups,simple randomization,Simple,Oncology,31,293,
117,,Ketamine and Ketamine Metabolite Pharmacology: Insights into Therapeutic Mechanisms,Pharmacological Reviews,https://doi.org/10.1124/pr.117.015198,2018,3,Saline,Not Applicable,25,Post-pre respiratory variability metrics MRR/VRR/VTV,Continuous,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Between-arm comparison of randomized groups,simple randomization,Simple,Anesthesiology & Pain Medicine,1253,126,
118,,Cerebrolysin and repetitive transcranial magnetic stimulation (rTMS) in patients with traumatic brain injury: a three-arm randomized trial,Frontiers in Neuroscience,https://doi.org/10.3389/fnins.2023.1186751,2023,3,PLC+SHM,Not Applicable,86,Cognitive composite and MoCA follow-up scores,Continuous,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of randomized groups,simple randomization,Simple,Neurology & Neurorehabilitation,12,371,
119,,Pain perceived during hysteroscopic morcellation by vaginoscopy versus standard technique in an outpatient setting: a randomized controlled trial,European Journal of Obstetrics & Gynecology and Reproductive Biology,https://doi.org/10.1016/j.ejogrb.2025.114544,2025,2,Not identified from compact source,Not Applicable,57,Pain score during hysteroscopic morcellation,Continuous,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Between-arm comparison of randomized groups,simple randomization,Simple,"Women's, Maternal & Child Health",1,1140,
120,NCT02583516,Intermittent BRAF inhibition in advanced BRAF mutated melanoma results of a phase II randomized trial,Nature Communications,https://doi.org/10.1038/s41467-021-26572-6,2021,2,Continuous treatment,2,70,Progression-free survival months and event indicator,Time-to-event,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Survival analysis in publication; compact data retain PFS/OS summaries,simple randomization,Simple,Oncology,44,2207,
121,,Acceptance lowers stress reactivity: Dismantling mindfulness training in a randomized controlled trial,Psychoneuroendocrinology,https://doi.org/10.1016/j.psyneuen.2017.09.015,2017,3,Control,Not Applicable,144,Subjective stress reactivity composite,Continuous,Publication reviewed; primary statistical significance not clearly reported in metadata sources,Between-arm comparison of randomized groups,simple randomization,Simple,Mental & Behavioral Health,227,148,
122,DRKS00023088,Placebo effects improve sickness symptoms and drug efficacy during systemic inflammation: a randomized controlled trial in human experimental endotoxemia,BMC Medicine,https://doi.org/10.1186/s12916-025-04292-8,2025,4,group_1_medication_1_communication_1,Not Applicable,124,Bodily sickness symptoms and affective symptoms through 6 hours,Continuous,Publication reports ibuprofen and positive-labeling symptom effects,Between-arm comparison of randomized groups,factorial randomization,Factorial,Infectious Diseases & Immunology,1,35,
123,NCT04697082,Platelet-rich plasma treatment improves postoperative recovery in patients with pilonidal sinus disease: a randomized controlled clinical trial,BMC Surgery,https://doi.org/10.1186/s12893-021-01370-5,2021,3,group_A,Not Applicable,49,Wound healing speed in days,Continuous,Publication reports improved postoperative recovery with platelet-rich plasma,Between-arm comparison of randomized groups,simple randomization,Simple,Surgery,20,110,
124,NCT00431808,Phase 1 randomized controlled trial to evaluate the safety and immunogenicity of recombinant Pichia pastoris-expressed Plasmodium falciparum apical membrane antigen 1 (PfAMA1-FVO [25-545]) in healthy Malian adults in Bandiagara,Malaria Journal,https://doi.org/10.1186/s12936-016-1466-4,2016,2,Tetanus_Toxoid,1,40,"Immunogenicity measures IgG, GIA05, and GIA10 at day 84",Continuous,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of randomized groups,simple randomization,Simple,Infectious Diseases & Immunology,38,499,
125,NCT00926744,"Effect of a 1-year intervention comprising brief counselling sessions and low-dose physical activity recommendations in Japanese adults, and retention of the effect at 2 years: a randomized trial",BMC Sports Science Medicine and Rehabilitation,https://doi.org/10.1186/s13102-021-00360-7,2021,3,control,Not Applicable,574,"Year-1 step count, PA MET-hours, and moderate physical activity",Continuous,Yes; publication reports statistically significant primary or main outcome effect,Between-arm comparison of randomized groups,simple randomization,Simple,"Nutrition, Metabolism & Lifestyle",10,119,
